key,english,es,status
"app_description","Invitation and user manager for Jellyfin","Gestor de invitaciones y usuarios para Jellyfin","ok"
"automation_add","Add","Agregar","ok"
"automation_col_bitrate","Bitrate (kbps)","Columna bitrate","ok"
"automation_col_delete_days","Delete after (days)","Columna eliminar dias","ok"
"automation_col_disable_days","Disable after (days)","Columna desactivar dias","ok"
"automation_col_download","Downloads","Columna descarga","ok"
"automation_col_group","Group","Columna grupo","ok"
"automation_col_id","ID","Columna id","ok"
"automation_col_last_run","Last run","Columna ultima ejecucion","ok"
"automation_col_ldap_dn_optional","LDAP DN (optional)","Columna ldap dn opcional","ok"
"automation_col_name","Name","Columna nombre","ok"
"automation_col_payload","Payload","Columna payload","ok"
"automation_col_preset_target","Target preset","Columna preajuste objetivo","ok"
"automation_col_remote","Remote access","Columna remoto","ok"
"automation_col_schedule","Schedule","Columna programacion","ok"
"automation_col_sessions","Sessions","Columna sesiones","ok"
"automation_col_source","Source","Columna origen","ok"
"automation_col_type","Type","Columna tipo","ok"
"automation_create","Create","Crear","ok"
"automation_delete","Delete","Eliminar","ok"
"automation_disable","Disable","Desactivar","ok"
"automation_enable","Enable","Activar","ok"
"automation_error_group_mappings","Unable to load group mappings.","Error grupo mapeos","ok"
"automation_error_presets","Unable to load presets.","Error presets","ok"
"automation_error_tasks","Unable to load tasks.","Error tareas","ok"
"automation_group_mappings_desc","Map LDAP or application groups to Jellyfin presets.","Asocia grupos a un preajuste de Jellyfin.","ok"
"automation_group_mappings_title","Group mappings","Asignaciones de grupos","ok"
"automation_guidance_desc","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","Empieza con los preajustes de acceso de Jellyfin, asÃ­gnalos a grupos y programa despuÃ©s las tareas recurrentes que mantienen todo sincronizado.","ok"
"automation_guidance_title","Keep presets, groups, and schedules aligned.","MantÃ©n alineados los preajustes, los grupos y la planificaciÃ³n.","ok"
"automation_kicker","Automation control room","Centro de control de automatizaciÃ³n","ok"
"automation_mappings_saved","Group mappings saved.","Mapeos guardado","ok"
"automation_new_preset","New preset","Nuevo preajuste","ok"
"automation_no_group_mappings","No group mappings configured.","Sin grupo mapeos","ok"
"automation_no_presets","No presets configured.","Sin presets","ok"
"automation_no_tasks","No scheduled tasks.","Sin tareas","ok"
"automation_presets_desc","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","Define la base reutilizable de acceso a Jellyfin para aplicarla manualmente o mediante asignaciones de grupo.","ok"
"automation_presets_saved","Presets saved.","Presets guardado","ok"
"automation_presets_title","Jellyfin presets","Preajustes","ok"
"automation_run_now","Run now","Ejecucion ahora","ok"
"automation_save","Save","Guardar","ok"
"automation_save_mappings_failed","Unable to save group mappings.","Guardar mapeos fallido","ok"
"automation_save_presets_failed","Unable to save presets.","Guardar presets fallido","ok"
"automation_select_preset","Select a preset","Seleccionar preajuste","ok"
"automation_subheading","Manage presets, mappings, and scheduled tasks.","Subtitulo","ok"
