key,english,pt-br,status
"app_description","Invitation and user manager for Jellyfin","Gerenciador de convites e usuarios para Jellyfin","ok"
"automation_add","Add","Adicionar","ok"
"automation_col_bitrate","Bitrate (kbps)","Coluna bitrate","ok"
"automation_col_delete_days","Delete after (days)","Coluna excluir dias","ok"
"automation_col_disable_days","Disable after (days)","Coluna desativar dias","ok"
"automation_col_download","Downloads","Coluna download","ok"
"automation_col_group","Group","Coluna grupo","ok"
"automation_col_id","ID","Coluna id","ok"
"automation_col_last_run","Last run","Coluna ultima execucao","ok"
"automation_col_ldap_dn_optional","LDAP DN (optional)","Coluna ldap dn opcional","ok"
"automation_col_name","Name","Coluna nome","ok"
"automation_col_payload","Payload","Carga","ok"
"automation_col_preset_target","Target preset","Preset de destino","ok"
"automation_col_remote","Remote access","Acesso remoto","ok"
"automation_col_schedule","Schedule","Agendamento","ok"
"automation_col_sessions","Sessions","Sessoes","ok"
"automation_col_source","Source","Origem","ok"
"automation_col_type","Type","Tipo","ok"
"automation_create","Create","Criar","ok"
"automation_delete","Delete","Excluir","ok"
"automation_disable","Disable","Desativar","ok"
"automation_enable","Enable","Ativar","ok"
"automation_error_group_mappings","Unable to load group mappings.","Nao foi possivel carregar os mapeamentos de grupos.","ok"
"automation_error_presets","Unable to load presets.","Nao foi possivel carregar os presets.","ok"
"automation_error_tasks","Unable to load tasks.","Nao foi possivel carregar as tarefas.","ok"
"automation_group_mappings_desc","Map LDAP or application groups to Jellyfin presets.","Associe grupos LDAP ou do aplicativo a presets do Jellyfin.","ok"
"automation_group_mappings_title","Group mappings","Mapeamentos de grupos","ok"
"automation_guidance_desc","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","Comece com presets de acesso do Jellyfin, conecte-os aos grupos e depois agende os trabalhos recorrentes que mantem tudo sincronizado.","ok"
"automation_guidance_title","Keep presets, groups, and schedules aligned.","Mantenha presets, grupos e agendas alinhados.","ok"
"automation_kicker","Automation control room","Central de automacao","ok"
"automation_mappings_saved","Group mappings saved.","Mapeamentos de grupos salvos.","ok"
"automation_new_preset","New preset","Novo preset","ok"
"automation_no_group_mappings","No group mappings configured.","Nenhum mapeamento de grupo configurado.","ok"
"automation_no_presets","No presets configured.","Nenhum preset configurado.","ok"
"automation_no_tasks","No scheduled tasks.","Nenhuma tarefa agendada.","ok"
"automation_presets_desc","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","Defina a base reutilizavel de acesso do Jellyfin para aplicacao manual ou por mapeamentos de grupos.","ok"
"automation_presets_saved","Presets saved.","Presets salvos.","ok"
"automation_presets_title","Jellyfin presets","Presets do Jellyfin","ok"
"automation_run_now","Run now","Executar agora","ok"
"automation_save","Save","Salvar","ok"
"automation_save_mappings_failed","Unable to save group mappings.","Nao foi possivel salvar os mapeamentos de grupos.","ok"
"automation_save_presets_failed","Unable to save presets.","Nao foi possivel salvar os presets.","ok"
"automation_select_preset","Select a preset","Selecione um preset","ok"
"automation_subheading","Manage presets, mappings, and scheduled tasks.","Gerencie presets, mapeamentos e tarefas agendadas.","ok"
"automation_task_builder_desc","Use clear names and a stable hour/minute so the job remains easy to audit later.","Use nomes claros e horarios estaveis para facilitar a auditoria depois.","ok"
"automation_task_builder_title","Build a scheduled task","Montar tarefa agendada","ok"
"automation_task_create_failed","Unable to create task.","Nao foi possivel criar a tarefa.","ok"
"automation_task_created","Task created.","Tarefa criada.","ok"
"automation_task_delete_confirm","Delete this task?","Excluir esta tarefa?","ok"
"automation_task_delete_failed","Unable to delete task.","Nao foi possivel excluir a tarefa.","ok"
"automation_task_deleted","Task deleted.","Tarefa excluida.","ok"
"automation_task_enabled","Enabled","Ativada","ok"
"automation_task_hour_placeholder","Hour (0-23)","Hora (0-23)","ok"
