key,english,en,status
"app_description","Invitation and user manager for Jellyfin","Invitation and user manager for Jellyfin","untranslated"
"automation_add","Add","Add","untranslated"
"automation_col_bitrate","Bitrate (kbps)","Bitrate (kbps)","untranslated"
"automation_col_delete_days","Delete after (days)","Delete after (days)","untranslated"
"automation_col_disable_days","Disable after (days)","Disable after (days)","untranslated"
"automation_col_download","Downloads","Downloads","untranslated"
"automation_col_group","Group","Group","untranslated"
"automation_col_id","ID","ID","untranslated"
"automation_col_last_run","Last run","Last run","untranslated"
"automation_col_ldap_dn_optional","LDAP DN (optional)","LDAP DN (optional)","untranslated"
"automation_col_name","Name","Name","untranslated"
"automation_col_payload","Payload","Payload","untranslated"
"automation_col_preset_target","Target preset","Target preset","untranslated"
"automation_col_remote","Remote access","Remote access","untranslated"
"automation_col_schedule","Schedule","Schedule","untranslated"
"automation_col_sessions","Sessions","Sessions","untranslated"
"automation_col_source","Source","Source","untranslated"
"automation_col_type","Type","Type","untranslated"
"automation_create","Create","Create","untranslated"
"automation_delete","Delete","Delete","untranslated"
"automation_disable","Disable","Disable","untranslated"
"automation_enable","Enable","Enable","untranslated"
"automation_error_group_mappings","Unable to load group mappings.","Unable to load group mappings.","untranslated"
"automation_error_presets","Unable to load presets.","Unable to load presets.","untranslated"
"automation_error_tasks","Unable to load tasks.","Unable to load tasks.","untranslated"
"automation_group_mappings_desc","Map LDAP or application groups to Jellyfin presets.","Map LDAP or application groups to Jellyfin presets.","untranslated"
"automation_group_mappings_title","Group mappings","Group mappings","untranslated"
"automation_guidance_desc","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","untranslated"
"automation_guidance_title","Keep presets, groups, and schedules aligned.","Keep presets, groups, and schedules aligned.","untranslated"
"automation_kicker","Automation control room","Automation control room","untranslated"
"automation_mappings_saved","Group mappings saved.","Group mappings saved.","untranslated"
"automation_new_preset","New preset","New preset","untranslated"
"automation_no_group_mappings","No group mappings configured.","No group mappings configured.","untranslated"
"automation_no_presets","No presets configured.","No presets configured.","untranslated"
"automation_no_tasks","No scheduled tasks.","No scheduled tasks.","untranslated"
"automation_presets_desc","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","untranslated"
"automation_presets_saved","Presets saved.","Presets saved.","untranslated"
"automation_presets_title","Jellyfin presets","Jellyfin presets","untranslated"
"automation_run_now","Run now","Run now","untranslated"
"automation_save","Save","Save","untranslated"
"automation_save_mappings_failed","Unable to save group mappings.","Unable to save group mappings.","untranslated"
"automation_save_presets_failed","Unable to save presets.","Unable to save presets.","untranslated"
"automation_select_preset","Select a preset","Select a preset","untranslated"
"automation_subheading","Manage presets, mappings, and scheduled tasks.","Manage presets, mappings, and scheduled tasks.","untranslated"
"automation_task_builder_desc","Use clear names and a stable hour/minute so the job remains easy to audit later.","Use clear names and a stable hour/minute so the job remains easy to audit later.","untranslated"
"automation_task_builder_title","Build a scheduled task","Build a scheduled task","untranslated"
"automation_task_create_failed","Unable to create task.","Unable to create task.","untranslated"
"automation_task_created","Task created.","Task created.","untranslated"
"automation_task_delete_confirm","Delete this task?","Delete this task?","untranslated"
"automation_task_delete_failed","Unable to delete task.","Unable to delete task.","untranslated"
"automation_task_deleted","Task deleted.","Task deleted.","untranslated"
"automation_task_enabled","Enabled","Enabled","untranslated"
"automation_task_hour_placeholder","Hour (0-23)","Hour (0-23)","untranslated"
"automation_task_minute_placeholder","Minute (0-59)","Minute (0-59)","untranslated"
"automation_task_name_placeholder","Task name","Task name","untranslated"
"automation_task_payload_empty","No payload","No payload","untranslated"
"automation_task_payload_placeholder","JSON payload (optional)","JSON payload (optional)","untranslated"
"automation_task_payload_ready","Payload ready","Payload ready","untranslated"
"automation_task_preview_empty","Fill the form to preview the schedule and execution state.","Fill the form to preview the schedule and execution state.","untranslated"
"automation_task_preview_title","Task preview","Task preview","untranslated"
"automation_task_run_failed","Task execution failed.","Task execution failed.","untranslated"
"automation_task_run_success","Task started.","Task started.","untranslated"
"automation_task_update_failed","Unable to update task.","Unable to update task.","untranslated"
"automation_tasks_desc","Create recurring jobs, then verify the schedule and payload before saving.","Create recurring jobs, then verify the schedule and payload before saving.","untranslated"
"automation_tasks_title","Scheduled tasks","Scheduled tasks","untranslated"
"automation_type_cleanup_resets_desc","Remove expired password reset requests to keep the recovery flow clean.","Remove expired password reset requests to keep the recovery flow clean.","untranslated"
"automation_type_create_backup_desc","Create a fresh backup snapshot for restore or audit purposes.","Create a fresh backup snapshot for restore or audit purposes.","untranslated"
"automation_type_sync_users_desc","Sync local users with Jellyfin or directory state to keep access consistent.","Sync local users with Jellyfin or directory state to keep access consistent.","untranslated"
"back_to_login","Back to login","Back to login","untranslated"
