key,english,it,status
"app_description","Invitation and user manager for Jellyfin","Gestore di inviti e utenti per Jellyfin","ok"
"automation_add","Add","Aggiungi","ok"
"automation_col_bitrate","Bitrate (kbps)","Colonna bitrate","ok"
"automation_col_delete_days","Delete after (days)","Colonna elimina giorni","ok"
"automation_col_disable_days","Disable after (days)","Colonna disabilita giorni","ok"
"automation_col_download","Downloads","Colonna download","ok"
"automation_col_group","Group","Colonna gruppo","ok"
"automation_col_id","ID","Colonna id","ok"
"automation_col_last_run","Last run","Colonna ultima esecuzione","ok"
"automation_col_ldap_dn_optional","LDAP DN (optional)","Colonna ldap dn opzionale","ok"
"automation_col_name","Name","Colonna nome","ok"
"automation_col_payload","Payload","Colonna payload","ok"
"automation_col_preset_target","Target preset","Colonna preset destinazione","ok"
"automation_col_remote","Remote access","Colonna remoto","ok"
"automation_col_schedule","Schedule","Colonna pianificazione","ok"
"automation_col_sessions","Sessions","Colonna sessioni","ok"
"automation_col_source","Source","Colonna sorgente","ok"
"automation_col_type","Type","Colonna tipo","ok"
"automation_create","Create","Crea","ok"
"automation_delete","Delete","Elimina","ok"
"automation_disable","Disable","Disabilita","ok"
"automation_enable","Enable","Abilita","ok"
"automation_error_group_mappings","Unable to load group mappings.","Errore gruppo mappature","ok"
"automation_error_presets","Unable to load presets.","Errore presets","ok"
"automation_error_tasks","Unable to load tasks.","Errore attivita","ok"
"automation_group_mappings_desc","Map LDAP or application groups to Jellyfin presets.","Associa i gruppi a un preset Jellyfin.","ok"
"automation_group_mappings_title","Group mappings","Associazioni gruppi","ok"
"automation_guidance_desc","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","Inizia dai preset di accesso Jellyfin, collegali ai gruppi e poi pianifica le attivitÃ  ricorrenti che mantengono tutto sincronizzato.","ok"
"automation_guidance_title","Keep presets, groups, and schedules aligned.","Mantieni allineati preset, gruppi e pianificazioni.","ok"
"automation_kicker","Automation control room","Centro di controllo automazioni","ok"
"automation_mappings_saved","Group mappings saved.","Mappature salvato","ok"
"automation_new_preset","New preset","Nuovo preset","ok"
"automation_no_group_mappings","No group mappings configured.","Nessun gruppo mappature","ok"
"automation_no_presets","No presets configured.","Nessun presets","ok"
"automation_no_tasks","No scheduled tasks.","Nessun attivita","ok"
"automation_presets_desc","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","Definisci la base riutilizzabile di accesso a Jellyfin da applicare manualmente o tramite assegnazioni di gruppo.","ok"
"automation_presets_saved","Presets saved.","Presets salvato","ok"
"automation_presets_title","Jellyfin presets","Preset","ok"
"automation_run_now","Run now","Esecuzione ora","ok"
"automation_save","Save","Salva","ok"
"automation_save_mappings_failed","Unable to save group mappings.","Salva mappature fallito","ok"
"automation_save_presets_failed","Unable to save presets.","Salva presets fallito","ok"
"automation_select_preset","Select a preset","Seleziona preset","ok"
"automation_subheading","Manage presets, mappings, and scheduled tasks.","Sottotitolo","ok"
"automation_task_builder_desc","Use clear names and a stable hour/minute so the job remains easy to audit later.","Usa nomi chiari e un'ora/minuto stabile cosÃ¬ l'attivitÃ  resterÃ  facile da verificare in seguito.","ok"
