key,english,fr,status
"app_description","Invitation and user manager for Jellyfin","Gestionnaire d'invitations et d'utilisateurs pour Jellyfin","ok"
"automation_add","Add","Ajouter","ok"
"automation_col_bitrate","Bitrate (kbps)","Debit (kbps)","ok"
"automation_col_delete_days","Delete after (days)","Suppression apres (jours)","ok"
"automation_col_disable_days","Disable after (days)","Desactivation apres (jours)","ok"
"automation_col_download","Downloads","Telechargements","ok"
"automation_col_group","Group","Groupe","ok"
"automation_col_id","ID","ID","untranslated"
"automation_col_last_run","Last run","Derniere execution","ok"
"automation_col_ldap_dn_optional","LDAP DN (optional)","DN LDAP (optionnel)","ok"
"automation_col_name","Name","Nom","ok"
"automation_col_payload","Payload","Payload","untranslated"
"automation_col_preset_target","Target preset","Preset cible","ok"
"automation_col_remote","Remote access","Acces distant","ok"
"automation_col_schedule","Schedule","Planification","ok"
"automation_col_sessions","Sessions","Sessions","untranslated"
"automation_col_source","Source","Source","untranslated"
"automation_col_type","Type","Type","untranslated"
"automation_create","Create","Creer","ok"
"automation_delete","Delete","Supprimer","ok"
"automation_disable","Disable","Desactiver","ok"
"automation_enable","Enable","Activer","ok"
"automation_error_group_mappings","Unable to load group mappings.","Impossible de charger les mappings de groupes.","ok"
"automation_error_presets","Unable to load presets.","Impossible de charger les presets.","ok"
"automation_error_tasks","Unable to load tasks.","Impossible de charger les taches.","ok"
"automation_group_mappings_desc","Map LDAP or application groups to Jellyfin presets.","Associez les groupes LDAP ou applicatifs a des presets Jellyfin.","ok"
"automation_group_mappings_title","Group mappings","Mappings de groupes","ok"
"automation_guidance_desc","Start with Jellyfin access presets, attach them to groups, then schedule the recurring jobs that keep everything in sync.","Commencez par les presets Jellyfin, reliez-les aux groupes, puis planifiez les actions recurrentes qui gardent la plateforme propre.","ok"
"automation_guidance_title","Keep presets, groups, and schedules aligned.","Alignez les presets, les groupes et les taches planifiees.","ok"
"automation_kicker","Automation control room","Pilotage de l'automatisation","ok"
"automation_mappings_saved","Group mappings saved.","Mappings de groupes enregistres.","ok"
"automation_new_preset","New preset","Nouveau preset","ok"
"automation_no_group_mappings","No group mappings configured.","Aucun mapping de groupe configure.","ok"
"automation_no_presets","No presets configured.","Aucun preset configure.","ok"
"automation_no_tasks","No scheduled tasks.","Aucune tache planifiee.","ok"
"automation_presets_desc","Define the reusable Jellyfin access baseline that can be applied manually or through group mappings.","Definissez la base d'acces Jellyfin reutilisable a la main ou via les mappings de groupes.","ok"
"automation_presets_saved","Presets saved.","Presets enregistres.","ok"
"automation_presets_title","Jellyfin presets","Presets Jellyfin","ok"
"automation_run_now","Run now","Executer maintenant","ok"
"automation_save","Save","Enregistrer","ok"
"automation_save_mappings_failed","Unable to save group mappings.","Impossible d'enregistrer les mappings de groupes.","ok"
"automation_save_presets_failed","Unable to save presets.","Impossible d'enregistrer les presets.","ok"
"automation_select_preset","Select a preset","Choisir un preset","ok"
"automation_subheading","Manage presets, mappings, and scheduled tasks.","Gerez les presets, mappings et taches planifiees.","ok"
"automation_task_builder_desc","Use clear names and a stable hour/minute so the job remains easy to audit later.","Choisissez un nom clair et un horaire stable pour faciliter le suivi ensuite.","ok"
"automation_task_builder_title","Build a scheduled task","Composer une tache planifiee","ok"
"automation_task_create_failed","Unable to create task.","Impossible de creer la tache.","ok"
"automation_task_created","Task created.","Tache creee.","ok"
"automation_task_delete_confirm","Delete this task?","Supprimer cette tache ?","ok"
"automation_task_delete_failed","Unable to delete task.","Impossible de supprimer la tache.","ok"
"automation_task_deleted","Task deleted.","Tache supprimee.","ok"
"automation_task_enabled","Enabled","Activee","ok"
"automation_task_hour_placeholder","Hour (0-23)","Heure (0-23)","ok"
"automation_task_minute_placeholder","Minute (0-59)","Minute (0-59)","untranslated"
"automation_task_name_placeholder","Task name","Nom de la tache","ok"
"automation_task_payload_empty","No payload","Aucun payload","ok"
"automation_task_payload_placeholder","JSON payload (optional)","Payload JSON (optionnel)","ok"
"automation_task_payload_ready","Payload ready","Payload pret","ok"
"automation_task_preview_empty","Fill the form to preview the schedule and execution state.","Remplissez le formulaire pour voir l'horaire et l'etat d'execution.","ok"
"automation_task_preview_title","Task preview","Apercu de la tache","ok"
"automation_task_run_failed","Task execution failed.","Echec de l'execution de la tache.","ok"
"automation_task_run_success","Task started.","Execution de la tache lancee.","ok"
"automation_task_update_failed","Unable to update task.","Impossible de mettre a jour la tache.","ok"
"automation_tasks_desc","Create recurring jobs, then verify the schedule and payload before saving.","Creez des taches recurrentes puis verifiez l'horaire et le payload avant enregistrement.","ok"
"automation_tasks_title","Scheduled tasks","Taches planifiees","ok"
"automation_type_cleanup_resets_desc","Remove expired password reset requests to keep the recovery flow clean.","Nettoie les demandes de reinitialisation expirees pour garder un flux de recuperation propre.","ok"
"automation_type_create_backup_desc","Create a fresh backup snapshot for restore or audit purposes.","Cree un nouveau snapshot de sauvegarde pour la restauration ou l'audit.","ok"
"automation_type_sync_users_desc","Sync local users with Jellyfin or directory state to keep access consistent.","Synchronise les utilisateurs locaux avec Jellyfin ou l'annuaire pour garder les acces coherents.","ok"
"back_to_login","Back to login","Retour a la connexion","ok"
"base_language_label","Language","Langue","ok"
"btn_save","Save","Enregistrer","ok"
"cancel","Cancel","Annuler","ok"
"col_actions","Actions","Actions","untranslated"
"col_created_at","Date","Date","untranslated"
"col_email","Email","E-mail","ok"
"col_invited_by","Invited by","Invite par","ok"
"col_jellyfin","Jellyfin","Jellyfin","untranslated"
"col_status","Status","Statut","ok"
"col_username","User","Utilisateur","ok"
"common_bad_request","Invalid request","Requete invalide","ok"
"common_next","Next","Suivant","ok"
"common_previous","Previous","Precedent","ok"
"common_server_error","Server error","Erreur serveur","ok"
"dashboard_heading","Dashboard","Tableau de bord","ok"
"dashboard_intro_title","Jellyfin Access Manager","Gestionnaire d'accès Jellyfin","ok"
"dashboard_my_account_title","Account","Mon compte","ok"
"dashboard_no_users","No users yet","Aucun utilisateur pour le moment","ok"
"dashboard_open_my_account","Open My Account","Ouvrir mon compte","ok"
"dashboard_panel_invites_title","Invitations","Invitations","untranslated"
"dashboard_panel_settings_title","Settings","Configuration","ok"
"dashboard_panel_users_title","Users","Utilisateurs","ok"
"dashboard_recent_users","Recent users","Utilisateurs recents","ok"
"dashboard_stats_title","Pulse","Activité","ok"
"dashboard_title","Dashboard","Tableau de bord","ok"
"dashboard_welcome","Welcome","Bienvenue","ok"
"failure","Failure","Echec","ok"
"field_display_name","Display name","Nom affiche","ok"
"field_display_name_placeholder","E.g. John Doe","Ex: John Doe","ok"
"field_email","Email","Email","untranslated"
"field_email_placeholder","E.g. john@example.com","Ex: john@example.com","ok"
"field_email_required","Email","Email","untranslated"
"field_identifier","Email or username","Email ou nom d'utilisateur","ok"
"field_identifier_placeholder","E.g. john_doe or john@example.com","Ex: john_doe ou john@example.com","ok"
"field_new_password","New password","Nouveau mot de passe","ok"
"field_password","Password","Mot de passe","ok"
"field_password_confirm","Confirm password","Confirmer le mot de passe","ok"
"field_password_confirm_placeholder","Re-enter your password","Retapez votre mot de passe","ok"
"field_password_placeholder","Minimum 8 characters","Minimum 8 caracteres","ok"
"field_username","Username","Nom d'utilisateur","ok"
"field_username_help","3-32 characters: letters, numbers, dashes, underscores","3-32 caracteres : lettres, chiffres, tirets, underscores","ok"
"field_username_placeholder","E.g. john_doe","Ex: john_doe","ok"
"i18n_report_back_settings","Back to settings","Retour aux parametres","ok"
"i18n_report_col_fallback","Fallback values","Valeurs fallback","ok"
"i18n_report_col_locale","Locale","Langue","ok"
"i18n_report_col_missing_base","Missing vs base","Cles manquantes vs base","ok"
"i18n_report_col_missing_template","Missing template keys","Cles template manquantes","ok"
"i18n_report_col_placeholder","Placeholder mismatches","Placeholders incoherents","ok"
"i18n_report_col_total_keys","Total keys","Total des cles","ok"
"i18n_report_intro","Checks template key coverage, placeholder consistency, and fallback values by locale.","Verifie la couverture des cles de templates, la coherence des placeholders et les valeurs de fallback par langue.","ok"
"i18n_report_load_error","Unable to load the i18n report.","Impossible de charger le rapport i18n.","ok"
"i18n_report_no_data","No data.","Aucune donnee.","ok"
"i18n_report_title","i18n Report","Rapport i18n","ok"
"invitations_badge_active","Active","Active","untranslated"
"invitations_badge_expired","Expired","Expiree","ok"
"invitations_col_email","Delivery","Envoi","ok"
"invitations_col_link_code","Invitation link","Lien d invitation","ok"
"invitations_col_link_expiry","Link expiry","Expiration du lien","ok"
"invitations_col_profile_expiry","Account policy","Politique du compte","ok"
"invitations_conversion_rate","Conversion rate","Taux de conversion","ok"
"invitations_conversions","Conversions","Conversions","untranslated"
"invitations_copy","Copy","Copier","ok"
"invitations_copy_full_link","Copy full link","Copier le lien complet","ok"
"invitations_copy_unavailable","Clipboard access is unavailable","Le presse-papiers est indisponible","ok"
"invitations_create_desc","Generate a reusable signup link, prefill account rules, and optionally send it by email.","Generez un lien d inscription reutilisable, preconfigurez les regles du compte et envoyez-le par e-mail si besoin.","ok"
"invitations_create_link","Create invitation","Creer l invitation","ok"
"invitations_create_title","Invitation flow","Flux d invitation","ok"
"invitations_created","Invitation created","Invitation creee","ok"
"invitations_default_policy","Default policy","Politique par defaut","ok"
"invitations_delete","Delete","Supprimer","ok"
"invitations_delete_after_days","Delete account after {n} days","Supprimer le compte apres {n} jours","ok"
"invitations_delete_desc","This invitation will be removed permanently. Existing users created from it are not affected.","Cette invitation sera supprimee definitivement. Les utilisateurs deja crees a partir d elle ne sont pas affectes.","ok"
"invitations_delete_title","Delete invitation","Supprimer l invitation","ok"
"invitations_deleted","Invitation deleted","Invitation supprimee","ok"
"invitations_disable_after_days","Disable account after {n} days","Desactiver le compte apres {n} jours","ok"
"invitations_email_manual","Email delivery","Envoi par e-mail","ok"
"invitations_error_loading","Unable to load invitations","Impossible de charger les invitations","ok"
"invitations_expires_on","Expires on {date}","Expire le {date}","ok"
"invitations_forced_username","Reserved username","Nom d utilisateur reserve","ok"
"invitations_forced_username_help","Optional. Lock the signup to a single username when you need a pre-assigned account.","Optionnel. Verrouillez l inscription sur un seul identifiant quand vous preparez un compte attribue a l avance.","ok"
"invitations_forced_username_placeholder","Leave blank to let the user choose","Laisser vide pour laisser l utilisateur choisir","ok"
"invitations_group_default","Default group","Groupe par defaut","ok"
"invitations_group_prefix","Group: {group}","Groupe : {group}","ok"
"invitations_invalid_max_uses","Your current policy allows between 1 and {n} uses per link.","Votre politique actuelle autorise entre 1 et {n} utilisations par lien.","ok"
"invitations_invalid_user_expiry","Choose a relative or absolute expiry before creating the invitation.","Choisissez une expiration relative ou absolue avant de creer l invitation.","ok"
"invitations_invite_option_enabled_help","The invited account will be allowed to create invitations after signup.","Le compte invite pourra a son tour creer des invitations apres son inscription.","ok"
"invitations_invite_option_policy_limited","Your role cannot grant invite rights on new accounts.","Votre role ne peut pas accorder de droits d invitation aux nouveaux comptes.","ok"
"invitations_last_link_label","Latest generated link","Dernier lien genere","ok"
"invitations_last_link_placeholder","The newest invitation URL will appear here","La derniere URL d invitation apparaitra ici","ok"
"invitations_link_copied","Invitation link copied","Lien d invitation copie","ok"
"invitations_link_expires_label","Link expiry","Expiration du lien","ok"
"invitations_link_help_default","Leave empty to keep the link valid until it is used or revoked.","Laissez vide pour conserver le lien valide jusqu a son utilisation ou sa revocation.","ok"
"invitations_link_help_limited","Your current policy recommends an expiry within the next {n} hours.","Votre politique actuelle recommande une expiration dans les {n} prochaines heures.","ok"
"invitations_links_active","Active links","Liens actifs","ok"
"invitations_links_closed","Closed links","Liens clos","ok"
"invitations_links_created","Links created","Liens crees","ok"
"invitations_max_uses_label","Maximum uses","Nombre maximal d utilisations","ok"
"invitations_new_invitation","New invitation","Nouvelle invitation","ok"
"invitations_new_user_can_invite","Grant invite rights to the new account","Autoriser le nouveau compte a inviter","ok"
"invitations_no_link_to_copy","There is no invitation link to copy yet.","Aucun lien d invitation a copier pour le moment.","ok"
"invitations_no_planned_delete","No deletion planned","Aucune suppression planifiee","ok"
"invitations_none_active","No active invitations found.","Aucune invitation active trouvee.","ok"
"invitations_policy_base_links","Base URL: {url}","URL de base : {url}","ok"
"invitations_policy_expiry_locked","User expiry is locked by the active invitation policy.","L expiration utilisateur est verrouillee par la politique d invitation active.","ok"
"invitations_policy_grant_locked","Invite rights are locked by the active invitation policy.","Les droits d invitation sont verrouilles par la politique d invitation active.","ok"
"invitations_policy_loading","Loading invitation policy...","Chargement de la politique d invitation...","ok"
"invitations_policy_max_ttl","Max link lifetime: {n}h","Duree de vie max du lien : {n}h","ok"
"invitations_policy_max_uses","Max uses per link: {n}","Utilisations max par lien : {n}","ok"
"invitations_policy_quota_day","Daily quota: {n}","Quota quotidien : {n}","ok"
"invitations_policy_quota_month","Monthly quota: {n}","Quota mensuel : {n}","ok"
"invitations_policy_quota_week","Weekly quota: {n}","Quota hebdomadaire : {n}","ok"
"invitations_rate","Rate","Taux","ok"
"invitations_role_can_invite","can invite others","peut inviter","ok"
"invitations_role_standard","standard account","compte standard","ok"
"invitations_section_link_settings","Link settings","Regles du lien","ok"
"invitations_section_smtp_notification","Email delivery","Envoi par e-mail","ok"
"invitations_section_user_profile","Future account rules","Regles du futur compte","ok"
